pk_localizacao,pk_data,pk_juridica,pk_empresa_info,cd_cnpj,fl_matriz,nm_razao_social,faixa_de_veiculos,vl_latitude,vl_longitude,qt_filial,vl_total_veiculos,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados
63,62,56,53,01687525000100,1,ASSOCIACAO DE PRESTACAO DE SERVICOS REAL,,"-26,1117326","-49,8065079",0,0,0,0,0
65,64,3,40,11772974000100,1,G MARIA DE AMORIM ME,,"-8,1138885","-35,2915134",0,0,0,0,0
67,66,7,68,05850538000290,0,TECOPY COPIADORA LTDA ME,,"-23,6001428","-46,6763564",0,0,0,0,0
70,69,7,43,86396371000150,1,LIVRARIA DA SE INDUSTRIA E COMERCIO LTDA ME,,"-18,908382","-48,270572",1,0,0,0,0
72,71,7,8,52792652000100,1,CONTINENTAL CIRCUS MOTOCICLETAS LTDA ME,,"-23,541913","-46,7788579",0,0,0,0,0
74,73,75,12,15818386000110,1,ELEICAO 2012 COMITE FINANCEIRO SP PARA VEREADOR PT MENDONCA,,"-21,1900316","-49,580999",0,0,0,0,0
77,76,7,43,01498181000190,1,COMERCIAL DE PNEUS WENDT LTDA ME,0 a 5,"-28,1322847","-55,0223579",0,2,0,2,0
79,78,7,68,80495856000700,0,RPS FOTOGRAFIAS LTDA ME,,"-26,2993337","-48,844535",0,0,0,0,0
81,80,3,82,02186486000120,1,MOACIR LUIZ DA SILVA VARGAS ME,,"-29,8744377","-50,9984135",0,0,0,0,0
84,83,7,8,65070146000230,0,BAR E LANCHONETE PAYSAGE LTDA ME,,"-23,5702953","-46,6197298",0,0,0,0,0
86,85,7,50,02053352000130,1,AGILIS MOTOCICLE LTDA,,"-21,5368229","-42,6413579",0,0,0,0,0
88,87,7,57,06319255001170,0,PG DOIS AGRICOLA COMERCIAL LTDA,,"-27,4872075","-50,9728528",0,0,0,0,0
90,89,91,43,10886199000150,1,VALFRE SOCIEDADE INDIVIDUAL DE ADVOCACIA EIRELI,,"-20,3137737","-40,2941848",0,0,0,0,0
93,92,94,8,12019359000190,1,PUNHO FORTE PRESTADORA DE SERVIOS LTDA ME,,"-22,9249284","-43,3431213",0,0,0,0,0
96,95,7,53,06216178000150,1,CONSTRUTORA E PAVIMENTACAO LAGO DOURADO LTDA ME,,"-24,8569233","-54,3334256",0,0,0,0,0
98,97,3,4,12459122000120,1,RICARDO JOSE DA ROCHA MEI,,"-22,7853052","-43,0051048",0,0,0,0,0
100,99,101,8,10532571000120,1,SAULO FERNANDO GATO SCRIBONI,,"-20,4780031","-49,7779205",0,0,0,0,0
103,102,7,104,11163415000100,1,INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA,,"-22,0268377","-47,8934375",0,0,0,0,0
106,105,107,57,20963351002230,0,DIOCESE DE ITABIRA,0 a 5,"-19,6284156","-43,220858",0,4,0,4,0
109,108,56,110,55055743000150,1,CONDOMINIO ABC SHOPPING CENTER,,"-23,6911701","-46,5606889",0,0,0,0,0
112,111,7,113,11199599000150,1,LUSCO FUSCO FILMES EPP LTDA,,"-23,5714458","-46,697283",0,0,0,0,0
115,114,3,43,09445384000120,1,S DE SENA FERREIRA ME,0 a 5,"-5,2887251","-36,7603816",3,4,0,4,0
117,116,3,50,87301180000120,1,ELIAR HOFSTATTER ME,,"-29,4589733","-51,9673123",0,0,0,0,0
119,118,7,57,08739568000130,1,PA ADMINISTRADORA DE BENS E PARTICIPACOES LTDA ME,,"-11,7946561","-37,9435616",0,0,0,0,0
121,120,3,50,04500550000120,1,O F DE OLIVEIRA ME,,"-6,3685511","-48,0697669",0,0,0,0,0
123,122,3,124,12810402000130,1,SILVANI PRATES DOS SANTOS ME,,"-23,3969772","-46,9995522",0,0,0,0,0
126,125,127,12,05410317000110,1,HYDROLAB ENGENHARIA E CONSULTORIA ME SS,,"-22,812618","-47,0761302",0,0,0,0,0
129,128,7,130,12223579000130,1,WORK TAX SOLUCAO EMPRESARIAL LTDA ME,,"-23,6698174","-46,5853564",0,0,0,0,0
132,131,3,53,96617865000170,1,TOSHIO TATSUMI MARACAI ME,,"-22,6105462","-50,6671498",0,0,0,0,0
134,133,101,8,08047579000150,1,ILSA ALICE MULLER OLIVEIRA,,"-22,6606373","-50,404369",1,0,0,0,0
136,135,137,12,09873296000120,1,ELEICAO 2008 JOAO BATISTA SILVA DE SOUZA VEREADOR,,"-19,997465","-44,0423971",0,0,0,0,0
139,138,11,12,08641806000170,1,AFM MODALIDADE LOTERICA LTDA ME,,"-27,5969056","-48,5486711",0,0,0,0,0
141,140,11,12,09214498000160,1,O BARISTA CAFE LTDA ME,,"-23,4556501","-46,5659188",0,0,0,0,0
143,142,7,104,12690066000130,1,CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME,,"-8,2849639","-35,9701874",0,0,0,0,0
145,144,11,12,07605227000100,1,MARVELISE MULER DE OLIVEIRA & CIA LTDA ME,,"-25,8335554","-52,7304154",0,0,0,0,0
147,146,7,148,94409778000100,1,O WEHRMANN E CIA LTDA M E ME,,"-30,0875704","-51,2356869",0,0,0,0,0
150,149,151,50,21081120000130,1,CARTORIO DO REGISTRO CIVIL DE NICOLANDIA,,"-19,3244066","-41,2513767",0,0,0,0,0
153,152,154,43,77687663000150,1,ARTECLASSE ESTOFADOS EIRELI,0 a 5,"-23,5259717","-51,6790774",0,3,0,2,1
156,155,3,157,13103110000120,1,MARINETE SILVA PEREIRA MEI,,"-23,6317575","-46,6913253",0,0,0,0,0
159,158,7,47,84630474000450,0,L M L EXPORTACAO DE CAFE LTDA,,"-11,6821425","-61,1765191",0,0,0,0,0
161,160,7,148,37224847000160,1,AREEIRO COSME & DAMIAO LTDA ME,,"-20,7683924","-54,5282522",0,0,0,0,0
163,162,3,32,11971190000100,1,SILVANIRA PEREIRA NAZARE MEI,,"-23,4383937","-46,7079522",0,0,0,0,0
165,164,7,104,07244034000170,1,CABALA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA ME,,"-20,3058891","-40,2963769",0,0,0,0,0
167,166,101,47,12121605000110,1,NADIR RODOLFO DE JESUS TOLEDO E OUTRA,,"-23,8888022","-47,9811739",0,0,0,0,0
169,168,3,157,12708033000170,1,JORGE SOARES DE OLIVEIRA MEI,,"-29,8450304","-51,1373736",0,0,0,0,0
171,170,107,110,62955505281310,0,IGREJA DO EVANGELHO QUADRANGULAR,,"-19,8122294","-44,0050075",0,0,0,0,0
173,172,174,12,21614193000140,1,GARFIG REPRESENTACOES LTDA ME,,"-19,8868188","-43,924144",0,0,0,0,0
176,175,7,148,05008116000190,1,BIG ESFIHA EXPRESS FREGUESIA DO O LTDA ME,,"-23,4778099","-46,6820484",0,0,0,0,0
178,177,7,50,07095151000110,1,SOCIEDADE EDUCACIONAL JEAN PIAGET LTDA ME,,"-7,0136487","-42,1322099",0,0,0,0,0
180,179,3,4,15493137000100,1,RICARDO PIRES LEAL MEI,,"-30,0956211","-51,2272425",0,0,0,0,0
182,181,3,130,09253073000160,1,RENATA FERREIRA DA SILVA VESTUARIO ME,,"-23,657769","-46,693659",0,0,0,0,0
184,183,3,40,05266699000150,1,VALDIVIA ROSA DOS SANTOS LIMA ME,,"-14,3354678","-40,9046493",0,0,0,0,0
186,185,11,12,05312857000160,1,BRONZE DESIGN COMERCIO DE PECAS PARA DECORACAO LTDA,,"-21,1839696","-47,7938219",0,0,0,0,0
188,187,11,12,05421886000160,1,BISSOTO & DARIOLI MINIMERCADO LTDA,,"-22,7055965","-46,7693964",0,0,0,0,0
190,189,11,12,42064295000100,1,AUTO LOCADORA TRANS REI LTDA,,"-10,4546513","-40,1819714",0,0,0,0,0
192,191,15,12,01893515000120,1,VITOR A RODRIGUES GAS,,"-24,0778289","-51,7418756",0,0,0,0,0
194,193,11,12,15136062000100,1,INSTITUTO DE ENSINO E ASSISTENCIA TECNICA ELETRONICA LT,,"-12,9726504","-38,4938111",0,0,0,0,0
196,195,197,12,17184201078970,0,TELECOMUNICACOES DE MINAS GERAIS SA TELEMIG,,"-19,2760428","-44,405245",0,0,0,0,0
199,198,11,12,15136583000150,1,ARTUR WATT IRMAO CIA LTDA,,"-12,9718268","-38,5129729",0,0,0,0,0
201,200,11,12,15361199000150,1,MAMORE AUTO POSTO LTDA,,"-14,4040989","-56,4370932",0,0,0,0,0
203,202,11,12,15608045000110,1,FERNANDES & FILHOS LTDA,,"-10,9122056","-37,6708401",0,0,0,0,0
205,204,15,12,07435464000170,1,LUIZ HIPOLITO DOS SANTOS ME,,"-3,7271625","-38,5550863",0,0,0,0,0
207,206,15,12,08180392000120,1,GIOVANNI CIRACI ME,,"-13,0081176","-38,527092",0,0,0,0,0
209,208,15,12,02265502000170,1,ILDEU DOS SANTOS ABBADIA,,"-16,7631914","-47,6075051",0,0,0,0,0
211,210,15,12,04907539000180,1,F DE ASSIS MELO ME,,"-3,94904","-40,4736592",0,0,0,0,0
213,212,15,12,12537293000120,1,GERALDO SIMIAO AZEVEDO ME,,"-25,4876981","-49,3406071",0,0,0,0,0
215,214,11,12,09437544000190,1,H D INFORMATICA LTDA ME,,"-20,4798635","-54,6215663",0,0,0,0,0
217,216,75,12,10118122000130,1,ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PSDC,,"-23,3362278","-46,8345215",0,0,0,0,0
219,218,174,12,03814359000190,1,ITIBAN CONTABILIDADE LTDA ME SC,,"-21,1606727","-47,8024612",0,0,0,0,0
221,220,11,12,61538567000100,1,COPERNOX INOXIDAVEIS LTDA,0 a 5,"-23,6093521","-46,5320263",0,1,0,1,0
223,222,15,12,04966436000190,1,J DE OLIVEIRA MUNIZ PANIFICADORA ME,,"-7,844248","-35,3111011",0,0,0,0,0
225,224,15,12,64624521000100,1,ARTHUR PEDRO FERREIRA ASSIS,,"-22,6710153","-50,4381695",0,0,0,0,0
227,226,15,12,77365765000150,1,ACCACIO MOSCARDI,,"-23,7661064","-53,3206105",0,0,0,0,0
229,228,3,148,00326297000180,1,MARCI VICENTE PSCHEIDT ME,,"-26,1117326","-49,8065079",0,0,0,0,0
231,230,3,232,14644627000190,1,FRANCISCO ANTONIO CORREA DE APOIO ESCRITORIO ME,,"-23,6214512","-46,7888221",0,0,0,0,0
234,233,3,57,13629575000110,1,MARLENE ALVES DE FREITAS ME,,"-16,6591068","-49,278129",0,0,0,0,0
236,235,3,32,15581916000150,1,CLAUDENIR MANOEL DE ARAUJO MEI,,"-23,5948436","-46,4432643",0,0,0,0,0
238,237,7,104,03471229000100,1,MOVEIS PORTUGUES LTDA ME,,"-19,7896207","-42,1415419",0,0,0,0,0
240,239,7,82,06230514000110,1,MERCADAO DE CARNES CACHOEIRINHA LTDA ME,,"-23,474187","-46,6693958",0,0,0,0,0
242,241,3,243,14894610000190,1,JOSIAS ALVES DE CAMPOS MEI,,"-25,7464549","-53,0615734",0,0,0,0,0
245,244,3,8,05438357000170,1,IOLANDA CIRINO ME,,"-7,0190869","-37,9440765",0,0,0,0,0
247,246,7,43,13401477000120,1,LAGOA LOTERIAS LTDA ME,,"-19,6213368","-44,0415215",0,0,0,0,0
249,248,3,113,72833999000160,1,MICHEL GEORGES MICHAELIDES ME,,"-21,2254231","-50,8683504",0,0,0,0,0
251,250,7,130,12481765000170,1,GCR COMERCIO DE MERCADORIAS EM GERAL LTDA,,"-22,6482084","-47,1886192",0,0,0,0,0
253,252,7,53,11771732000100,1,ILHA COMERCIO DE ARTIGOS DE SURF LTDA ME,,"-27,6619842","-48,501835",0,0,0,0,0
255,254,7,43,10441320000130,1,PORTAS PRONTAS BARRETO LTDA ME,0 a 5,"-16,820257","-49,2473044",0,2,0,2,0
257,256,7,57,10850466000130,1,SG PROJETOS LTDA,,"-27,5859254","-48,5471612",0,0,0,0,0
259,258,3,43,10480447000240,0,A R L DE SOUZA ROUPAS ME,,"-21,28913","-50,34124",0,0,0,0,0
261,260,7,53,15697292000130,1,PET CAO PRODUTOS VETERINARIOS LTDA ME,,"-16,328546","-48,953403",0,0,0,0,0
263,262,3,40,15217444000150,1,RICARDO FIDELIS MELO ME,0 a 5,"-20,1451261","-44,8916447",0,2,0,2,0
264,262,3,32,15220854000150,1,JOAO BATISTA LIMA DA SILVA MEI,,"-29,1557242","-51,1393047",0,0,0,0,0
266,265,267,8,15740742000120,1,DIRETORIO DO PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO PMDB DO MUNICIPIO DE NOSSA SENHORA DE LOURDES,,"-10,0776488","-37,0570297",0,0,0,0,0
269,268,101,47,08216974000380,0,ALCIDES DOS SANTOS MOREIRA E OUTRA,,"-21,8967699","-49,3623695",0,0,0,0,0
271,270,7,148,01995195000110,1,BESTWAY LOCACOES E SERVICOS LTDA ME,,"-23,6427249","-46,7134267",0,0,0,0,0
273,272,3,104,03391792000160,1,GEDEAO LOURENCO DE SOUZA ME,,"-18,8549317","-41,9559233",0,0,0,0,0
275,274,101,47,08457794000390,0,ARY ANTONIO MADUREIRA,,"-22,7466667","-50,3880476",0,0,0,0,0
276,5,7,113,14222846000180,1,ACADEMIA C 4 FITNESS LTDA ME,,"-25,3695058","-51,4636864",0,0,0,0,0
278,277,15,279,07669934000160,1,M A NOGUEIRA REPRESENTACOES COMERCIAIS ME,,"-23,5107859","-46,5360225",0,0,0,0,0
281,280,7,53,06137179000100,1,ESPACO CONHECIMENTO CONSULTORIA EPP LTDA,,"-23,5438399","-46,6943593",0,0,0,0,0
283,282,284,57,01387360000150,1,CONDOMINIO EDIFICIO ANDRAUS GOLDEN,,"-25,435128","-49,2829662",0,0,0,0,0
286,285,267,8,09545298000190,1,PARTIDO DA REPUBLICA PR DE RIACHO DE SANTANA,,"-13,6063873","-42,9400663",0,0,0,0,0
288,287,7,110,40484867000850,0,JCE CONSULTORIA E PARTICIPACOES LTDA,,"-12,9141607","-38,336459",0,0,0,0,0
290,289,3,43,48346043000150,1,SEBASTIAO MIGUEL DE CAMPOS ME,,"-23,5334414","-49,2439031",0,0,0,0,0
292,291,7,43,13567044000140,1,BUT COMERCIO DE ALIMENTOS LTDA,,"-23,5688671","-46,7147589",0,0,0,0,0
294,293,15,279,13598884000170,1,EDEGAR PEREIRA MEI,,"-21,1830653","-47,8363908",0,0,0,0,0
296,295,7,50,04056122000150,1,ALZENIR SANTANA COMERCIO LTDA ME,,"-12,9299892","-38,4924987",0,0,0,0,0
298,297,7,8,04841694000140,1,CARRO FACIL VEICULOS LTDA,,"-12,9303016","-38,5120363",0,0,0,0,0
300,299,284,57,66508078000120,1,CONDOMINIO EDIFICIO ELIANA,,"-24,0126477","-46,406233",0,0,0,0,0
302,301,3,43,11726294000150,1,JAILSON BEZERRA PEREIRA ME,0 a 5,"-4,2238817","-38,7302215",0,1,0,1,0
304,303,3,157,11959342000150,1,MARIZA CRISTIANE ALTHAUS MEI,,"-25,4135668","-51,4746181",0,0,0,0,0
306,305,7,104,34481390000180,1,OLIVEIRA & GARCIA LTDA ME,,"-8,760919","-63,8962021",0,0,0,0,0
308,307,3,4,12555119000100,1,MARGARETE PEREIRA ARCENIO MEI,,"-27,8361769","-50,3106181",0,0,0,0,0
310,309,7,40,07907566000140,1,QUANTTO AGENCIA DE MARKETING LTDA ME,,"-19,4204056","-44,2442282",0,0,0,0,0
312,311,3,148,01682355000170,1,ELITON ALVES ME,0 a 5,"-20,4855858","-54,6285346",0,1,0,1,0
314,313,3,104,08455770000130,1,DILSON FERREIRA DOS SANTOS BRITAMENTO DE PEDRAS ME,0 a 5,"-10,8234273","-42,724969",0,1,0,1,0
316,315,7,50,74034307000140,1,ELETRO FRIO ESTRELA DA LIBERDADE LTDA ME,,"-22,7319933","-43,4554915",0,0,0,0,0
318,317,3,32,14672094000150,1,SEBASTIANA APARECIDA MEI,,"-23,6125469","-46,506455",0,0,0,0,0
320,319,3,321,02521644000150,1,ADRIANA RESENDE LOPES ME,,"-23,7177081","-46,5732203",0,0,0,0,0
323,322,3,40,14133477000150,1,ORLANDO PINHO GUIMARAES ME,,"-14,4075968","-42,0724884",0,0,0,0,0
325,324,3,53,06021074000190,1,MARCIA R LIMA AUTOMOVEIS ME,,"-25,4572615","-49,3034942",0,0,0,0,0
327,326,3,104,07784989000110,1,FARLEY SILVA LEITE ME,,"-16,7473624","-43,8609503",0,0,0,0,0
329,328,3,32,14550570000160,1,WELLINGTON ALVES DE LIMA MEI,,"-23,5379837","-46,3959428",0,0,0,0,0
331,330,3,232,14570622000160,1,S A R BANSI ME,,"-21,2915055","-50,3436312",0,0,0,0,0
333,332,56,57,01052752000240,0,ASAS DE SOCORRO,,"-16,3596741","-48,9269257",0,0,0,0,0
335,334,3,43,09353200000100,1,B P GONSIORKIEWICZ ME,,"-12,079662","-45,7988017",0,0,0,0,0
337,336,3,338,09102759000150,1,I DE L MOREIRA DE MORAES CALCADOS ME,,"-23,305827","-45,9691692",0,0,0,0,0
340,339,7,57,09310725000150,1,CLINICA ODONTOLOGICA ODONTOSAUDE LTDA ME,,"-6,0686758","-49,9050556",0,0,0,0,0
342,341,101,8,08374337000170,1,SALUSTIANO JOAQUIM TONCHIS,,"-20,9475914","-50,1104467",1,0,0,0,0
344,343,154,43,08225677000130,1,RAFAELA DE O G ELIAS CALHAS EIRELI ME,0 a 5,"-21,1502253","-47,8020031",0,1,0,1,0
346,345,154,113,13865327000410,0,HOKKAI COMERCIO E SERVICOS DE ALIMENTACAO EIRELI EPP,,"-23,5607191","-46,6926222",0,0,0,0,0
348,347,3,4,15296818000170,1,PALOMA VEBER SOETHE MEI,,"-28,3212662","-49,0431687",0,0,0,0,0
350,349,101,8,08402134000140,1,MARIA EMILIA APARECIDA VIANA,,"-21,7668575","-52,1096427",0,0,0,0,0
352,351,7,43,59121624000100,1,COMERCIAL T PAULISTA EPP LTDA,,"-23,5144575","-46,615003",0,0,0,0,0
354,353,3,53,92112333000120,1,C A S GONCALVES ME,0 a 5,"-30,0722165","-51,0969571",0,1,0,1,0
356,355,357,12,08661339000140,1,FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO TERTIUS DINAMICO,,"-22,9504707","-43,180611",0,0,0,0,0
359,358,3,32,14577061000120,1,MARCIO LUIZ BATISTA MEI,0 a 5,"-22,3008094","-49,0942451",0,1,0,1,0
361,360,7,57,14797432000180,1,OMEGA GESTORA DE RECURSOS LTDA,,"-23,5787839","-46,6709915",0,0,0,0,0
363,362,137,12,16700845000120,1,ELEICAO 2012 WILSON MARINHO DE CARVALHO VEREADOR,,"-9,6386866","-35,7414187",0,0,0,0,0
364,358,3,157,14581505000100,1,ELMA VIVIANE PAIVA AMORIM MEI,,"-23,4613552","-46,6877888",0,0,0,0,0
366,365,7,338,15309170000120,1,MARESIA PESCADOS LTDA ME,,"-26,7684656","-48,6804184",0,0,0,0,0
368,367,15,279,14384803000100,1,MARIA NATIVIDADE DE MELO VESELICH MEI,,"-12,9767211","-38,4839218",0,0,0,0,0
370,369,7,43,07104105000210,0,CENTRO DE FORMACAO DE CONDUTORES SOLUCAO LTDA ME,,"-21,7218513","-44,983291",0,0,0,0,0
372,371,3,4,15797920000150,1,FABIANA SOUSA PONTES DO AMARAL MEI,,"-22,8305297","-43,323059",0,0,0,0,0
374,373,11,12,89809099000180,1,OCLIDES ANTONIO MICHELON E FILHAS LTDA,,"-27,6365829","-52,2744942",0,0,0,0,0
376,375,15,12,88740717000110,1,MARIA T P LEIRIA,,"-30,0928313","-51,2441011",0,0,0,0,0
378,377,11,12,88485743000140,1,KOLLER CIA LTDA,,"-27,6298583","-52,2790545",0,0,0,0,0
380,379,11,12,29190576000140,1,ARMARINHO FIGUEIREDO LTDA ME,,"-22,8636192","-42,3336313",0,0,0,0,0
382,381,75,12,51444594000160,1,TEMPLO DE UMBANDA SAO SEBASTIAO,,"-23,7535997","-46,8003458",0,0,0,0,0
384,383,385,12,60124799000150,1,DORALICE DA GRACA CAMPOS,,"-23,256287","-45,9118653",0,0,0,0,0
387,386,11,12,50962802000150,1,TECELAGEM DORA LTDA,,"-22,7513369","-47,3316866",0,0,0,0,0
389,388,15,12,56609704000110,1,IETE TERESINHA BELING INGLESE,,"-22,8218421","-47,0721005",0,0,0,0,0
391,390,11,12,25278086000140,1,PADARIA E CONFEITARIA ERVALIA LTDA,,"-21,7466113","-43,3639082",0,0,0,0,0
393,392,11,12,31669633000110,1,DISTRIBUIDORA DE BEBIDAS RANCHO NOVO LTDA,,"-22,7492042","-43,4397718",0,0,0,0,0
395,394,15,12,52817210000170,1,JOSE JOAO DA SILVA ADAMANTINA,,"-21,6824831","-51,0741711",0,0,0,0,0
397,396,15,12,29319787000130,1,C CARNEVALE DISTRIBUIDORA DE BEBIDAS,,"-22,7375023","-43,4849393",0,0,0,0,0
399,398,15,12,19304245000130,1,GORGONILO GARCIA,,"-22,229838","-45,9386684",0,0,0,0,0
401,400,11,12,50109289000150,1,RESTAURANTE E LANCHONETE CHOPAO LTDA,,"-22,7241818","-47,6468426",0,0,0,0,0
403,402,385,12,54677331000190,1,MARIA TERESA WOLFF MORAES,,"-22,8867261","-47,0800755",0,0,0,0,0
405,404,15,12,52070638000100,1,ELPIDIO LANZILLO NETO,,"-23,4785556","-46,5967907",0,0,0,0,0
407,406,15,12,55228365000160,1,ALCENDINO NUNES DA SILVA ME,,"-23,6936946","-46,5957633",0,0,0,0,0
409,408,11,12,64797277000170,1,CAZALLAS SANTOS COMERCIO DE BIJUTERIAS LTDA,,"-23,5544169","-46,5293767",0,0,0,0,0
411,410,11,12,68747245000200,0,ASCOT INDUSTRIA E COMERCIO DE MOVEIS LTDA ME,,"-22,9976251","-43,3755839",0,0,0,0,0
413,412,11,12,73497265000110,1,CAMPANA TRANSPORTES LTDA,,"-29,2950409","-51,5008921",0,0,0,0,0
415,414,11,12,67048348000120,1,M F CALIL COMERCIO E REPRESENTACOES LTDA,,"-23,569844","-46,6333122",0,0,0,0,0
417,416,11,12,76684166000640,0,EMPRESA OTICA GLOBAL LTDA ME,,"-25,4790904","-49,2495992",0,0,0,0,0
419,418,15,12,64069826000190,1,MARIA PEREIRA DE LACERDA,,"-23,5151496","-47,4822957",0,0,0,0,0
421,420,11,12,72259583000180,1,ELLO CONTABIL LTDA ME,,"-26,9126258","-49,1171157",0,0,0,0,0
423,422,75,12,78677176000170,1,ASSOCIACAO DOS SERVIDORES MUNICIPAIS,,"-25,8809275","-52,9081285",0,0,0,0,0
425,424,174,12,71540447000100,1,MATER YANG SERVICOS MEDICOS LTDA ME SC,,"-23,710495","-46,5393111",0,0,0,0,0
427,426,11,12,40402109000170,1,LA MUDANCE RESTAURANTE LTDA,,"-22,8760986","-42,0357349",0,0,0,0,0
429,428,15,12,42967455000120,1,JOSE MARIA DOS SANTOS,,"-19,8764889","-44,0107216",0,0,0,0,0
431,430,15,12,44907251000120,1,JORGE BRAGA DO NASCIMENTO MERCEARIA ME,,"-22,8399228","-45,254401",0,0,0,0,0
433,432,11,12,44245108000110,1,BAR E EMPORIO IRMAOS GONCALVES LTDA,,"-23,4739836","-46,6613101",0,0,0,0,0
435,434,15,12,36902278000100,1,ILDA MARIA ROSA COMERCIO,,"-10,88536","-51,638892",0,0,0,0,0
437,436,11,12,33279563000110,1,DIMACON DIST DE MATERIAIS ELETRICOS E CONSTRUCAO LTDA,,"-16,328546","-48,953403",0,0,0,0,0
439,438,11,12,37274180000100,1,ESCOLA INFANTIL O MAGICO PINTOR LTDA,,"-16,6985314","-49,2559653",0,0,0,0,0
441,440,11,12,43221084001330,0,AKZO NOBEL COATINGS LTDA,,"-12,9583736","-38,5027362",0,0,0,0,0
443,442,11,12,90613217000160,1,SOLAR IMOVEIS LTDA,,"-29,6860406","-53,8019467",0,0,0,0,0
445,444,15,12,93655918000150,1,JOAO LUIS FRAGA ARMAZEM,,"-30,16273","-51,2284152",0,0,0,0,0
447,446,15,12,87876496000140,1,LUIZ JOAO EVALDT,,"-29,3344108","-49,723909",0,0,0,0,0
449,448,11,12,89438311000140,1,PETEFFI & TRIERWEILER LTDA,,"-18,6759421","-41,9888198",0,0,0,0,0
451,450,11,12,83704502000120,1,INDUSTRIAL DE RACOES RAMELLA LTDA,,"-27,2006894","-51,4099625",0,0,0,0,0
453,452,15,12,94180098000150,1,JOSE OLAVIO DE CAMPOS,,"-29,9034836","-50,2728046",0,0,0,0,0
455,454,15,12,93817237000140,1,RAUL CAMPOS DA FONTOURA,,"-29,9341421","-51,0726757",0,0,0,0,0
457,456,15,12,96594700000120,1,SILVIO DE BORBA LUCAS,,"-30,3387949","-54,3237449",0,0,0,0,0
459,458,15,12,81797078000180,1,MUSSULINE ZANETTE,,"-28,7139392","-49,3019108",0,0,0,0,0
